,ally_baron_kills,ally_dragon_kills,ally_inhibitor_kills,ally_kills,ally_rift_kills,ally_tower_kills,enemy_baron_kills,enemy_dragon_kills,enemy_inhibitor_kills,enemy_kills,enemy_rift_kills,enemy_tower_kills,rank,score_diff,BRONZE,CHALLENGER,DIAMOND,GOLD,GRANDMASTER,IRON,MASTER,PLATINUM,SILVER
28615,0,1,0,41,1,6,0,3,1,27,0,7,SILVER,9.444873155040796,0,0,0,0,0,0,0,0,1
3348,0,0,2,72,0,4,0,0,0,68,0,2,IRON,-0.2512040981384871,0,0,0,0,0,1,0,0,0
21129,1,3,2,39,1,9,0,1,0,18,0,5,SILVER,10.938219077378877,0,0,0,0,0,0,0,0,1
10535,1,4,2,40,0,10,0,0,0,25,2,5,PLATINUM,12.824728024141962,0,0,0,0,0,0,0,1,0
12364,2,5,0,44,0,5,1,2,3,52,2,11,IRON,0.4719899886898204,0,0,0,0,0,1,0,0,0
28463,0,1,0,31,1,3,1,2,2,44,0,11,PLATINUM,-9.275839296766208,0,0,0,0,0,0,0,1,0
2910,1,1,0,31,1,4,1,5,1,45,1,10,IRON,-10.348479402331243,0,0,0,0,0,1,0,0,0
23934,1,3,6,37,1,11,0,2,0,42,0,2,BRONZE,-2.333528649312313,1,0,0,0,0,0,0,0,0
13202,1,3,5,57,2,11,1,3,0,30,0,2,SILVER,7.926302754112797,0,0,0,0,0,0,0,0,1
8144,0,0,0,16,0,4,1,4,3,36,2,11,SILVER,-10.561360561105433,0,0,0,0,0,0,0,0,1
31140,1,4,1,41,0,7,1,0,0,36,0,3,GOLD,2.170934809070744,0,0,0,1,0,0,0,0,0
11132,1,4,3,35,1,11,0,0,0,18,1,3,IRON,10.56709345906394,0,0,0,0,0,1,0,0,0
3147,0,1,0,23,1,3,1,3,4,29,1,11,IRON,-9.087953614347311,0,0,0,0,0,1,0,0,0
19606,1,2,1,37,2,8,0,1,0,19,0,1,SILVER,9.449971760012389,0,0,0,0,0,0,0,0,1
11701,1,3,3,32,2,11,0,1,0,20,0,0,PLATINUM,3.384004993467528,0,0,0,0,0,0,0,1,0
8376,0,1,0,20,1,2,0,3,3,31,0,11,GOLD,-8.196790921502213,0,0,0,1,0,0,0,0,0
13310,1,4,1,29,1,8,0,1,0,36,1,6,SILVER,0.1111275318918387,0,0,0,0,0,0,0,0,1
8692,1,3,0,20,1,3,0,1,2,22,1,9,GOLD,-4.248929601919144,0,0,0,1,0,0,0,0,0
33431,1,0,0,24,0,2,0,4,2,31,2,10,MASTER,-1.9446169126617008,0,0,0,0,0,0,1,0,0
25554,1,3,1,37,1,8,0,1,0,23,1,5,PLATINUM,7.315090624829807,0,0,0,0,0,0,0,1,0
13742,1,4,2,41,2,9,1,0,0,27,0,1,SILVER,9.360570121093154,0,0,0,0,0,0,0,0,1
23528,0,1,0,25,0,2,0,3,1,45,1,9,BRONZE,-10.044940637614122,1,0,0,0,0,0,0,0,0
5998,0,0,0,29,0,2,1,4,3,42,0,11,DIAMOND,-10.815242052112524,0,0,1,0,0,0,0,0,0
7477,0,3,3,45,1,10,1,2,1,44,0,9,BRONZE,-6.213110046881667,1,0,0,0,0,0,0,0,0
3,1,1,0,52,2,7,1,5,2,66,0,9,PLATINUM,-3.572944074348051,0,0,0,0,0,0,0,1,0
29854,1,3,3,35,2,11,0,1,0,41,0,2,GOLD,0.1111503683639014,0,0,0,1,0,0,0,0,0
23601,0,2,1,47,1,7,2,4,1,48,0,9,SILVER,1.7614628308494886,0,0,0,0,0,0,0,0,1
1632,1,0,0,28,0,2,0,4,2,39,2,9,GRANDMASTER,-3.473506415774125,0,0,0,0,1,0,0,0,0
29938,2,4,3,37,0,11,0,0,0,26,1,3,GOLD,7.191055746364462,0,0,0,1,0,0,0,0,0
30478,1,3,3,47,1,9,0,1,0,23,1,3,CHALLENGER,10.55694553374311,0,1,0,0,0,0,0,0,0
19490,0,3,0,36,0,6,2,2,2,38,1,9,PLATINUM,0.3140961994421971,0,0,0,0,0,0,0,1,0
29407,0,1,0,17,0,3,1,3,3,27,1,11,DIAMOND,-7.817114122208174,0,0,1,0,0,0,0,0,0
25335,1,3,1,41,1,9,0,1,0,45,0,4,GOLD,-3.81669095120148,0,0,0,1,0,0,0,0,0
16430,0,0,0,27,0,5,1,5,3,43,1,11,SILVER,-5.852881698896262,0,0,0,0,0,0,0,0,1
17525,2,2,0,41,1,5,0,2,1,44,0,8,GOLD,-3.157775718672042,0,0,0,1,0,0,0,0,0
9757,0,0,0,51,0,1,0,0,2,75,0,4,PLATINUM,-8.442564439412287,0,0,0,0,0,0,0,1,0
3393,0,1,1,18,1,6,2,4,2,40,0,11,SILVER,-10.771366185528194,0,0,0,0,0,0,0,0,1
28584,1,1,0,37,0,5,0,4,1,44,1,8,BRONZE,1.6360368201735014,1,0,0,0,0,0,0,0,0
466,0,0,2,59,0,4,0,0,1,49,0,2,BRONZE,6.092833134473239,1,0,0,0,0,0,0,0,0
35179,1,4,2,42,0,9,0,1,2,25,1,6,BRONZE,2.5815296081970374,1,0,0,0,0,0,0,0,0
21603,2,2,1,46,1,7,1,3,2,56,1,10,BRONZE,-1.675307439568968,1,0,0,0,0,0,0,0,0
14073,1,0,2,25,2,9,0,3,0,23,0,4,PLATINUM,3.736365090185096,0,0,0,0,0,0,0,1,0
23080,0,0,0,17,0,2,1,3,3,38,2,11,BRONZE,-11.23064264636104,1,0,0,0,0,0,0,0,0
32005,0,0,0,28,1,2,1,2,1,35,1,9,GOLD,-3.214365792333993,0,0,0,1,0,0,0,0,0
5301,0,1,0,31,0,2,1,3,2,47,2,10,PLATINUM,-6.636520128160377,0,0,0,0,0,0,0,1,0
429,0,1,0,34,2,4,2,5,4,48,0,11,BRONZE,-12.659186363439254,1,0,0,0,0,0,0,0,0
4338,0,0,0,13,0,1,1,4,3,22,1,11,IRON,-7.527235386503477,0,0,0,0,0,1,0,0,0
31501,0,0,1,72,0,3,0,0,3,76,0,4,BRONZE,-1.801732583866417,1,0,0,0,0,0,0,0,0
4418,0,0,0,24,0,1,1,3,4,38,1,11,PLATINUM,-4.09475830431191,0,0,0,0,0,0,0,1,0
11766,2,4,2,49,0,10,1,3,1,60,2,9,SILVER,-9.858748159123444,0,0,0,0,0,0,0,0,1
19704,0,1,0,47,2,6,1,4,2,57,0,10,PLATINUM,-1.5900155609478404,0,0,0,0,0,0,0,1,0
20798,0,4,3,49,1,11,2,2,0,38,0,7,GOLD,1.1462869234146922,0,0,0,1,0,0,0,0,0
7198,1,3,2,36,0,10,0,1,0,25,2,4,PLATINUM,3.325063690805252,0,0,0,0,0,0,0,1,0
11955,0,1,0,32,0,2,1,4,0,49,1,6,PLATINUM,-5.458416618071311,0,0,0,0,0,0,0,1,0
906,1,4,3,35,0,11,1,0,0,23,2,4,CHALLENGER,4.596683127024583,0,1,0,0,0,0,0,0,0
8345,0,0,0,19,2,3,1,4,3,47,0,11,SILVER,-10.285890327841775,0,0,0,0,0,0,0,0,1
12520,1,3,1,30,1,6,0,1,0,20,0,4,PLATINUM,5.1722645975116,0,0,0,0,0,0,0,1,0
33773,0,0,0,24,0,2,1,3,2,41,2,10,CHALLENGER,-6.684305582633172,0,1,0,0,0,0,0,0,0
10319,1,3,5,38,2,11,0,0,0,33,0,1,PLATINUM,0.4019733559700782,0,0,0,0,0,0,0,1,0
21882,1,0,0,27,0,4,1,5,2,42,1,10,PLATINUM,-4.529374192312567,0,0,0,0,0,0,0,1,0
25040,0,1,0,32,1,3,0,4,3,36,0,11,IRON,-1.950697785009332,0,0,0,0,0,1,0,0,0
22699,1,1,0,30,1,2,0,3,2,33,1,9,BRONZE,0.3436343303042548,1,0,0,0,0,0,0,0,0
15272,0,3,1,37,1,8,0,0,0,14,0,1,SILVER,12.438297631201609,0,0,0,0,0,0,0,0,1
16180,1,0,0,18,1,4,0,4,3,34,1,11,SILVER,-12.806164089391856,0,0,0,0,0,0,0,0,1
17814,0,0,0,16,1,1,1,3,3,29,0,11,IRON,-7.15563258013708,0,0,0,0,0,1,0,0,0
17415,1,4,4,45,1,11,0,0,0,35,0,1,BRONZE,1.1530889974827403,1,0,0,0,0,0,0,0,0
31124,2,3,3,42,1,10,0,0,0,28,1,1,PLATINUM,7.725326963796142,0,0,0,0,0,0,0,1,0
7767,0,0,0,15,0,1,1,3,1,33,2,10,IRON,-9.84605381751496,0,0,0,0,0,1,0,0,0
31155,1,1,0,29,0,4,0,3,2,30,2,8,DIAMOND,-2.258656127550104,0,0,1,0,0,0,0,0,0
32691,0,3,0,35,0,3,1,2,2,63,1,10,PLATINUM,-9.464848837742032,0,0,0,0,0,0,0,1,0
29215,0,0,0,23,1,2,1,4,3,48,1,11,SILVER,-11.70523374721941,0,0,0,0,0,0,0,0,1
3530,0,0,2,92,0,4,0,0,2,99,0,3,IRON,0.1765012911891048,0,0,0,0,0,1,0,0,0
11611,1,3,0,38,1,7,0,0,0,11,1,3,SILVER,16.046165354451432,0,0,0,0,0,0,0,0,1
31314,0,4,2,21,1,11,0,0,0,13,1,1,PLATINUM,8.799274434748526,0,0,0,0,0,0,0,1,0
23461,0,3,2,29,1,11,0,0,0,15,1,2,GOLD,7.483466314070768,0,0,0,1,0,0,0,0,0
32907,1,2,2,37,2,9,0,2,0,21,0,1,DIAMOND,5.943559147882013,0,0,1,0,0,0,0,0,0
22630,0,1,0,35,1,3,1,3,1,38,0,9,SILVER,-2.405870793153696,0,0,0,0,0,0,0,0,1
33294,1,3,2,45,0,9,1,2,0,46,0,5,GOLD,-2.786401619893823,0,0,0,1,0,0,0,0,0
22147,0,0,0,15,0,2,0,3,2,42,1,10,IRON,-13.281874311223532,0,0,0,0,0,1,0,0,0
11234,0,1,0,23,1,1,1,2,3,35,1,11,BRONZE,-4.648801633734692,1,0,0,0,0,0,0,0,0
12437,1,2,2,31,2,9,0,1,0,16,0,0,GOLD,6.192862071853774,0,0,0,1,0,0,0,0,0
22338,2,4,5,52,0,11,0,2,1,36,2,6,GOLD,3.205646711505672,0,0,0,1,0,0,0,0,0
11589,1,0,0,14,2,7,0,4,1,38,0,8,GOLD,-15.898696897050916,0,0,0,1,0,0,0,0,0
19060,1,2,2,37,1,10,1,3,0,36,1,5,GOLD,0.277914010185718,0,0,0,1,0,0,0,0,0
31992,2,3,2,38,2,10,0,0,0,21,0,1,GOLD,6.398864326687502,0,0,0,1,0,0,0,0,0
14722,1,3,1,33,1,6,2,2,1,37,1,9,PLATINUM,-0.8955430948880689,0,0,0,0,0,0,0,1,0
30136,1,2,1,36,1,9,1,3,0,20,1,5,DIAMOND,5.3488014767092125,0,0,1,0,0,0,0,0,0
25900,0,1,0,17,1,0,1,2,3,26,1,11,GRANDMASTER,-5.979020337294706,0,0,0,0,1,0,0,0,0
14416,0,0,0,21,0,3,0,3,3,42,1,11,SILVER,-11.104925277126693,0,0,0,0,0,0,0,0,1
20265,1,3,3,48,2,10,0,2,0,38,0,6,BRONZE,2.824977111609641,1,0,0,0,0,0,0,0,0
14145,1,4,1,33,2,8,0,1,0,21,0,3,GOLD,9.57813309146264,0,0,0,1,0,0,0,0,0
31611,0,3,0,23,0,5,0,0,0,11,2,2,IRON,14.803554957933414,0,0,0,0,0,1,0,0,0
17497,0,1,0,20,0,4,0,2,2,35,1,10,IRON,-11.55605224693234,0,0,0,0,0,1,0,0,0
31069,0,4,2,28,1,9,2,1,0,26,0,3,PLATINUM,-2.962510789547345,0,0,0,0,0,0,0,1,0
19102,0,0,0,79,0,1,0,0,2,88,0,4,PLATINUM,-2.946248771226493,0,0,0,0,0,0,0,1,0
8987,2,2,1,59,0,9,0,3,1,41,1,8,SILVER,5.318628608922111,0,0,0,0,0,0,0,0,1
14649,1,3,0,37,0,5,0,0,0,26,2,6,GOLD,8.03013161859937,0,0,0,1,0,0,0,0,0
30851,0,1,0,30,0,2,1,2,4,52,0,10,SILVER,-10.18053519274534,0,0,0,0,0,0,0,0,1
4692,1,3,2,35,0,10,1,3,0,39,2,6,MASTER,0.3603424512699646,0,0,0,0,0,0,1,0,0
21472,0,0,0,14,0,0,1,4,3,30,2,11,DIAMOND,-9.435484026370156,0,0,1,0,0,0,0,0,0
34528,2,3,2,30,0,8,0,3,1,39,2,9,IRON,-5.724836999768051,0,0,0,0,0,1,0,0,0
25467,1,1,0,16,1,1,0,1,1,26,1,7,DIAMOND,-6.254093256077532,0,0,1,0,0,0,0,0,0
14475,1,2,0,34,2,6,0,1,0,27,0,2,IRON,2.191671344115676,0,0,0,0,0,1,0,0,0
31214,1,3,2,34,0,10,0,1,0,16,1,4,GOLD,7.281473031248723,0,0,0,1,0,0,0,0,0
29756,1,3,1,30,0,10,0,0,1,15,1,6,PLATINUM,13.21708405648679,0,0,0,0,0,0,0,1,0
19315,0,1,0,19,0,1,1,1,2,38,1,9,GOLD,-7.932340216678973,0,0,0,1,0,0,0,0,0
31364,0,0,0,23,2,3,2,4,2,27,0,10,IRON,-3.9377694672290735,0,0,0,0,0,1,0,0,0
24002,1,3,1,25,2,9,0,0,0,10,0,0,GOLD,11.440401471969857,0,0,0,1,0,0,0,0,0
6586,0,1,1,32,2,9,1,2,0,21,0,3,DIAMOND,5.449840041941826,0,0,1,0,0,0,0,0,0
31153,0,0,2,67,0,4,0,0,1,61,0,3,BRONZE,3.384215167774123,1,0,0,0,0,0,0,0,0
28345,1,2,0,26,0,5,1,3,1,42,2,8,PLATINUM,-5.959731918413958,0,0,0,0,0,0,0,1,0
17975,1,3,3,32,2,11,0,1,0,7,0,2,SILVER,15.293685869741388,0,0,0,0,0,0,0,0,1
25946,1,2,2,46,1,9,0,3,0,46,0,7,PLATINUM,2.8335748813318844,0,0,0,0,0,0,0,1,0
26209,1,2,1,37,0,8,2,4,3,51,2,10,PLATINUM,-8.923424411098786,0,0,0,0,0,0,0,1,0
35324,0,1,1,48,0,6,0,4,1,53,2,9,SILVER,-0.5645048813660978,0,0,0,0,0,0,0,0,1
2598,0,3,2,47,2,11,0,0,0,19,0,1,GOLD,6.545146067357283,0,0,0,1,0,0,0,0,0
24825,0,0,0,16,0,4,1,4,3,39,2,11,PLATINUM,-9.549718112349083,0,0,0,0,0,0,0,1,0
14100,0,0,0,17,0,0,1,4,2,52,1,10,IRON,-14.170280126071717,0,0,0,0,0,1,0,0,0
34323,1,2,1,42,2,10,0,2,0,41,0,4,DIAMOND,-5.251017978370868,0,0,1,0,0,0,0,0,0
12527,2,4,1,31,2,8,0,0,0,26,0,6,MASTER,3.093651098282514,0,0,0,0,0,0,1,0,0
17217,1,2,2,34,1,10,1,2,0,34,1,4,DIAMOND,3.7482742481769193,0,0,1,0,0,0,0,0,0
15067,0,0,0,21,1,2,1,3,3,31,1,11,GOLD,-7.501858052615873,0,0,0,1,0,0,0,0,0
15614,1,1,0,34,1,4,1,4,3,40,1,11,GRANDMASTER,-2.4009512575936967,0,0,0,0,1,0,0,0,0
26359,0,2,0,22,0,1,1,2,1,36,2,10,DIAMOND,-10.360401704137992,0,0,1,0,0,0,0,0,0
3693,0,1,1,21,0,5,1,3,1,27,1,9,GOLD,-1.2326349804220629,0,0,0,1,0,0,0,0,0
25002,0,0,0,56,0,1,0,0,2,53,0,4,BRONZE,-0.5962614412858542,1,0,0,0,0,0,0,0,0
24115,1,2,2,40,2,11,0,0,0,19,0,0,BRONZE,12.806109384911643,1,0,0,0,0,0,0,0,0
10470,1,1,1,32,2,9,0,2,0,15,0,1,GRANDMASTER,8.357373402242814,0,0,0,0,1,0,0,0,0
7208,1,2,2,31,2,10,0,2,0,23,0,0,GOLD,1.9823170204882103,0,0,0,1,0,0,0,0,0
34083,1,2,4,44,0,9,0,2,0,27,1,2,IRON,3.353336176374235,0,0,0,0,0,1,0,0,0
7337,2,2,1,34,0,9,0,3,1,32,2,7,CHALLENGER,2.570923028308158,0,1,0,0,0,0,0,0,0
16300,1,2,2,33,2,10,0,1,0,20,0,2,MASTER,9.676561989773395,0,0,0,0,0,0,1,0,0
6880,0,0,0,15,0,0,1,3,3,27,2,11,PLATINUM,-9.35194991528416,0,0,0,0,0,0,0,1,0
29970,1,2,2,27,0,9,1,3,1,35,2,6,SILVER,-5.759846653739238,0,0,0,0,0,0,0,0,1
9199,0,2,0,19,0,3,0,1,2,28,2,8,BRONZE,-2.531178147693673,1,0,0,0,0,0,0,0,0
22758,1,4,1,47,1,6,0,0,0,20,0,2,IRON,9.160043187198047,0,0,0,0,0,1,0,0,0
13831,0,0,1,91,0,4,0,0,2,84,0,4,GOLD,4.338804045487386,0,0,0,1,0,0,0,0,0
7821,1,4,0,42,0,3,1,1,3,47,2,11,GRANDMASTER,0.0511875558729215,0,0,0,0,1,0,0,0,0
4610,1,3,3,50,2,11,1,4,0,61,0,5,SILVER,1.0830874815317202,0,0,0,0,0,0,0,0,1
24901,0,1,1,48,0,8,0,2,0,38,2,4,IRON,2.016169510599404,0,0,0,0,0,1,0,0,0
28433,0,3,0,33,2,5,1,2,1,42,0,9,IRON,-7.732270850299251,0,0,0,0,0,1,0,0,0
29182,0,1,0,19,1,2,2,3,3,25,1,11,DIAMOND,-1.485564506968693,0,0,1,0,0,0,0,0,0
11505,1,0,0,33,1,2,0,4,1,47,0,9,SILVER,-3.4066488187414663,0,0,0,0,0,0,0,0,1
13814,0,0,0,25,1,5,1,3,3,34,1,11,PLATINUM,-4.763946967022832,0,0,0,0,0,0,0,1,0
14913,0,1,0,20,2,5,2,3,3,32,0,11,MASTER,-3.8321693652136233,0,0,0,0,0,0,1,0,0
13862,0,2,0,35,1,5,1,2,1,22,1,8,PLATINUM,3.279183223026152,0,0,0,0,0,0,0,1,0
18134,2,4,2,53,2,9,0,1,0,36,0,2,PLATINUM,7.518491816050741,0,0,0,0,0,0,0,1,0
19088,2,3,3,49,0,11,0,2,1,33,2,6,SILVER,0.3303016405351471,0,0,0,0,0,0,0,0,1
12383,0,5,1,42,1,6,3,1,4,33,1,11,GOLD,6.041527322638942,0,0,0,1,0,0,0,0,0
29771,0,1,0,40,1,4,2,2,3,56,0,11,IRON,-1.2732531300163856,0,0,0,0,0,1,0,0,0
31316,1,2,3,28,1,9,0,2,0,20,1,1,PLATINUM,10.822114674812298,0,0,0,0,0,0,0,1,0
35894,0,0,1,37,0,4,1,5,4,38,1,11,BRONZE,-0.3823841267881178,1,0,0,0,0,0,0,0,0
16071,1,2,0,51,1,2,1,4,7,69,0,11,IRON,-4.019992938469152,0,0,0,0,0,1,0,0,0
36326,1,3,2,38,2,9,0,1,0,23,0,1,PLATINUM,7.917629971324395,0,0,0,0,0,0,0,1,0
12795,0,2,0,22,0,4,2,2,4,42,0,11,SILVER,-1.698169957761948,0,0,0,0,0,0,0,0,1
13185,0,0,3,84,0,4,0,0,2,62,0,4,DIAMOND,3.561963113352242,0,0,1,0,0,0,0,0,0
29574,0,2,0,31,0,4,0,1,4,48,1,11,IRON,-6.876654751263232,0,0,0,0,0,1,0,0,0
3784,0,0,0,26,0,4,1,3,2,46,2,9,SILVER,-7.642031537043309,0,0,0,0,0,0,0,0,1
13309,1,1,2,12,0,10,1,3,1,35,2,5,PLATINUM,-14.450163993773558,0,0,0,0,0,0,0,1,0
27161,0,0,0,23,2,4,1,4,1,44,0,10,CHALLENGER,-10.115073115978468,0,1,0,0,0,0,0,0,0
6761,1,5,2,48,1,10,0,0,0,25,1,3,IRON,9.520954601563917,0,0,0,0,0,1,0,0,0
22003,0,0,0,19,0,3,1,3,1,31,1,7,SILVER,-6.383825602578938,0,0,0,0,0,0,0,0,1
2766,0,1,0,26,1,1,1,4,2,36,1,10,GOLD,-4.70339823459716,0,0,0,1,0,0,0,0,0
36036,2,4,1,33,2,10,0,0,0,20,0,2,GOLD,7.823175226703185,0,0,0,1,0,0,0,0,0
19712,0,0,0,30,1,4,1,3,2,59,1,10,IRON,-13.569426815690498,0,0,0,0,0,1,0,0,0
8922,1,3,1,36,1,6,0,0,0,14,0,0,SILVER,12.293271541612704,0,0,0,0,0,0,0,0,1
34222,1,1,0,40,0,3,1,4,1,40,2,9,PLATINUM,3.4427511616428177,0,0,0,0,0,0,0,1,0
28889,0,0,0,15,1,5,1,4,3,36,1,11,SILVER,-14.437864199469724,0,0,0,0,0,0,0,0,1
2909,0,1,2,31,1,10,0,2,0,23,1,2,SILVER,6.877632235403347,0,0,0,0,0,0,0,0,1
18455,0,0,2,60,0,4,0,0,0,61,0,0,IRON,1.4454786228471974,0,0,0,0,0,1,0,0,0
8497,0,0,0,16,0,2,1,3,2,28,1,9,GOLD,-9.975635250316664,0,0,0,1,0,0,0,0,0
7428,0,3,1,37,0,6,0,0,0,16,1,3,SILVER,7.816242782453017,0,0,0,0,0,0,0,0,1
25370,1,3,1,37,1,9,0,1,0,19,1,3,SILVER,4.818507577197252,0,0,0,0,0,0,0,0,1
11608,0,1,0,31,1,5,1,3,2,32,0,10,PLATINUM,-0.891184817500303,0,0,0,0,0,0,0,1,0
29080,0,0,0,35,1,4,1,4,3,47,1,11,PLATINUM,-11.425919565680417,0,0,0,0,0,0,0,1,0
28700,0,4,3,45,0,10,2,2,0,49,2,3,IRON,0.8549880840576378,0,0,0,0,0,1,0,0,0
14427,1,2,1,30,2,8,1,2,1,38,0,7,GRANDMASTER,-3.344211752150265,0,0,0,0,1,0,0,0,0
32299,1,4,1,68,1,8,1,2,1,52,0,8,GOLD,6.087867922346504,0,0,0,1,0,0,0,0,0
9595,1,3,1,40,1,7,0,1,0,26,1,5,BRONZE,10.90278707851294,1,0,0,0,0,0,0,0,0
18386,0,2,0,11,1,5,1,2,1,29,1,10,DIAMOND,-9.964104600016997,0,0,1,0,0,0,0,0,0
17664,0,0,0,28,0,5,1,3,4,50,2,10,SILVER,-6.327056198472356,0,0,0,0,0,0,0,0,1
11512,0,0,0,31,0,4,1,4,1,49,0,10,IRON,-7.29505087106665,0,0,0,0,0,1,0,0,0
29423,0,3,0,27,0,4,1,1,1,47,2,10,IRON,-6.570425100447366,0,0,0,0,0,1,0,0,0
25981,0,0,0,16,1,1,1,3,0,32,0,5,SILVER,-13.540878869288475,0,0,0,0,0,0,0,0,1
27707,0,1,0,11,0,1,1,2,2,34,2,10,MASTER,-13.047209775569012,0,0,0,0,0,0,1,0,0
6485,1,4,2,27,1,10,0,0,0,14,1,3,DIAMOND,4.911544721971985,0,0,1,0,0,0,0,0,0
31360,1,2,2,41,0,9,1,2,1,38,2,9,PLATINUM,2.2061400093928896,0,0,0,0,0,0,0,1,0
34848,1,3,0,37,1,5,1,2,1,46,0,6,GOLD,-2.603730331688517,0,0,0,1,0,0,0,0,0
28443,2,0,1,29,1,7,0,4,0,31,1,6,GOLD,-0.2671002578802017,0,0,0,1,0,0,0,0,0
8721,0,0,0,25,2,6,2,5,4,45,0,11,IRON,-7.945085314192987,0,0,0,0,0,1,0,0,0
1350,0,1,0,27,0,3,2,4,3,33,2,11,DIAMOND,-5.726806256185199,0,0,1,0,0,0,0,0,0
3371,0,0,0,11,0,1,1,4,3,37,2,11,SILVER,-13.241342565858844,0,0,0,0,0,0,0,0,1
24617,0,0,0,38,1,3,1,4,2,45,1,10,IRON,-4.444070859958472,0,0,0,0,0,1,0,0,0
30161,1,5,3,39,2,11,0,0,1,32,0,7,SILVER,-2.0295516469425934,0,0,0,0,0,0,0,0,1
19663,0,0,0,11,0,0,1,3,1,33,2,10,DIAMOND,-12.925624003682138,0,0,1,0,0,0,0,0,0
27977,0,1,0,20,1,1,1,2,0,30,0,6,BRONZE,-8.052153280437118,1,0,0,0,0,0,0,0,0
33334,0,1,1,25,1,4,0,2,3,39,0,9,GOLD,-3.389217443977081,0,0,0,1,0,0,0,0,0
8676,1,1,0,24,0,5,0,3,1,36,2,9,DIAMOND,-6.540053917756801,0,0,1,0,0,0,0,0,0
32230,0,2,0,38,1,4,1,1,2,45,1,11,DIAMOND,3.1085605208472344,0,0,1,0,0,0,0,0,0
14224,1,1,2,44,1,8,1,4,0,42,1,6,DIAMOND,0.0747859190036166,0,0,1,0,0,0,0,0,0
31248,1,3,3,31,1,11,0,1,0,22,1,3,PLATINUM,2.666536852643759,0,0,0,0,0,0,0,1,0
19916,0,0,0,18,0,0,1,3,2,34,2,10,GRANDMASTER,-8.029629360705549,0,0,0,0,1,0,0,0,0
3183,1,4,1,29,1,10,0,0,0,8,1,1,DIAMOND,16.578709852463398,0,0,1,0,0,0,0,0,0
26647,0,0,0,29,1,2,1,3,2,42,0,9,IRON,-8.351977406538417,0,0,0,0,0,1,0,0,0
18175,1,2,2,27,0,10,0,1,0,19,1,7,IRON,5.2209954650862045,0,0,0,0,0,1,0,0,0
15650,1,3,2,51,1,9,0,3,3,49,1,10,IRON,3.049884407725962,0,0,0,0,0,1,0,0,0
32881,0,0,0,20,0,3,0,3,0,24,1,4,SILVER,-4.526451435902942,0,0,0,0,0,0,0,0,1
19862,0,1,0,21,1,1,1,3,1,32,0,8,PLATINUM,-5.877577311704165,0,0,0,0,0,0,0,1,0
19719,0,1,0,35,0,6,0,3,3,38,2,11,BRONZE,-6.59815610827571,1,0,0,0,0,0,0,0,0
18334,0,1,0,30,1,2,1,3,1,29,1,7,PLATINUM,-0.4798797802621237,0,0,0,0,0,0,0,1,0
19512,0,1,5,51,1,11,1,5,1,59,1,10,BRONZE,-4.327654926577701,1,0,0,0,0,0,0,0,0
5507,0,3,2,36,1,10,0,1,0,20,0,4,BRONZE,7.764612230194473,1,0,0,0,0,0,0,0,0
6698,0,0,0,13,0,2,0,3,2,41,2,10,IRON,-12.737553967450316,0,0,0,0,0,1,0,0,0
31633,1,4,2,42,2,11,0,0,0,19,0,1,SILVER,9.82625161278262,0,0,0,0,0,0,0,0,1
35024,0,0,0,22,1,2,2,4,2,44,1,11,GRANDMASTER,-10.195140916000277,0,0,0,0,1,0,0,0,0
1879,0,2,0,38,1,5,0,1,0,18,0,1,GOLD,14.864829567601802,0,0,0,1,0,0,0,0,0
2614,0,1,0,17,1,3,0,2,2,22,1,9,SILVER,-6.075923381921967,0,0,0,0,0,0,0,0,1
30416,0,0,0,70,0,1,0,0,2,90,0,4,IRON,-2.7577554284139296,0,0,0,0,0,1,0,0,0
2297,1,2,3,29,2,11,0,2,0,10,0,1,DIAMOND,10.692234510642564,0,0,1,0,0,0,0,0,0
28377,0,1,0,24,0,4,1,3,2,42,1,9,PLATINUM,-7.121351626092697,0,0,0,0,0,0,0,1,0
13477,1,1,3,52,2,10,0,2,0,33,0,3,GOLD,4.975472767891063,0,0,0,1,0,0,0,0,0
9863,2,1,1,49,2,9,0,4,3,42,0,7,PLATINUM,3.573359210482572,0,0,0,0,0,0,0,1,0
4558,1,1,1,29,2,6,1,4,1,57,0,9,PLATINUM,-10.381943066056133,0,0,0,0,0,0,0,1,0
27259,1,3,1,27,1,9,0,0,0,24,1,4,GOLD,2.510808075678348,0,0,0,1,0,0,0,0,0
31862,0,2,2,49,2,10,1,3,1,44,0,4,GOLD,3.773497976006588,0,0,0,1,0,0,0,0,0
31292,1,3,1,49,0,9,1,3,2,33,1,8,IRON,5.943010578089549,0,0,0,0,0,1,0,0,0
2206,2,1,2,32,1,9,0,3,0,29,1,5,DIAMOND,0.1917373307782597,0,0,1,0,0,0,0,0,0
23242,1,2,1,31,1,10,0,3,1,21,0,6,IRON,8.866128710452806,0,0,0,0,0,1,0,0,0
10001,2,3,1,33,0,10,0,2,0,30,2,4,PLATINUM,4.9444308554957175,0,0,0,0,0,0,0,1,0
31905,0,2,0,12,0,5,1,2,2,38,1,10,BRONZE,-12.81035123280778,1,0,0,0,0,0,0,0,0
8309,1,3,2,30,2,9,1,1,1,38,0,7,IRON,-3.383715009604842,0,0,0,0,0,1,0,0,0
25742,1,3,0,47,0,7,0,1,0,39,1,3,GOLD,0.8895561990514125,0,0,0,1,0,0,0,0,0
