,ally_baron_kills,ally_dragon_kills,ally_inhibitor_kills,ally_kills,ally_rift_kills,ally_tower_kills,enemy_baron_kills,enemy_dragon_kills,enemy_inhibitor_kills,enemy_kills,enemy_rift_kills,enemy_tower_kills,rank,score_diff,BRONZE,CHALLENGER,DIAMOND,GOLD,GRANDMASTER,IRON,MASTER,PLATINUM,SILVER
14575,0,0,3,103,0,4,0,0,0,87,0,2,IRON,2.257566816254553,0,0,0,0,0,1,0,0,0
31588,0,0,0,26,0,1,0,3,2,29,2,10,SILVER,-0.5490367458292766,0,0,0,0,0,0,0,0,1
5843,0,1,0,18,1,4,0,2,1,32,0,8,SILVER,-5.63826157185197,0,0,0,0,0,0,0,0,1
15573,0,3,1,53,1,8,0,1,1,38,1,7,IRON,9.525331950035133,0,0,0,0,0,1,0,0,0
31242,0,3,0,35,1,3,1,2,4,46,1,11,BRONZE,-7.813049950825558,1,0,0,0,0,0,0,0,0
20577,1,3,3,36,1,11,0,3,4,49,1,11,GOLD,-6.070784887298508,0,0,0,1,0,0,0,0,0
21464,0,0,0,18,0,2,0,4,3,33,1,10,IRON,-13.21790781529937,0,0,0,0,0,1,0,0,0
24198,1,1,1,27,0,6,0,3,0,12,2,4,SILVER,12.741193647432516,0,0,0,0,0,0,0,0,1
35573,0,0,1,11,2,6,1,4,0,34,0,5,DIAMOND,-12.5399040754224,0,0,1,0,0,0,0,0,0
6176,0,0,0,24,0,1,1,4,1,40,1,7,BRONZE,-9.48457246980972,1,0,0,0,0,0,0,0,0
24225,0,0,0,25,1,3,1,4,2,44,1,10,GOLD,-14.215461316181887,0,0,0,1,0,0,0,0,0
6712,0,1,2,45,2,7,0,3,0,30,0,5,SILVER,2.4455164822288395,0,0,0,0,0,0,0,0,1
19820,1,1,1,41,1,6,0,2,0,28,0,3,SILVER,4.40237440467066,0,0,0,0,0,0,0,0,1
30402,0,1,0,14,0,1,1,2,2,35,2,10,GOLD,-11.379443804333228,0,0,0,1,0,0,0,0,0
21724,0,0,0,20,0,1,0,3,1,27,2,8,PLATINUM,-3.1792035311197324,0,0,0,0,0,0,0,1,0
7134,2,4,5,56,0,11,0,0,0,29,1,1,PLATINUM,10.912319338205124,0,0,0,0,0,0,0,1,0
26420,2,3,2,40,0,8,0,1,0,23,2,4,DIAMOND,7.844313359916974,0,0,1,0,0,0,0,0,0
2604,1,3,2,42,1,10,1,2,0,39,1,5,BRONZE,4.278643276230341,1,0,0,0,0,0,0,0,0
18872,1,2,3,47,2,11,0,2,0,27,0,4,SILVER,8.130513223426462,0,0,0,0,0,0,0,0,1
11903,1,3,1,45,2,8,0,1,0,34,0,3,PLATINUM,5.6435796584606095,0,0,0,0,0,0,0,1,0
11527,1,1,3,44,0,10,0,4,3,37,1,11,SILVER,6.726167810037943,0,0,0,0,0,0,0,0,1
8370,2,4,3,39,1,9,0,2,0,33,1,3,GOLD,0.1402132819154218,0,0,0,1,0,0,0,0,0
4659,1,2,1,40,1,6,2,3,2,55,1,10,SILVER,-4.967386709748247,0,0,0,0,0,0,0,0,1
5568,0,2,0,25,2,4,1,2,2,43,0,11,DIAMOND,-9.51060598565558,0,0,1,0,0,0,0,0,0
34411,0,2,1,29,1,5,1,3,5,55,0,11,SILVER,-3.084302515827652,0,0,0,0,0,0,0,0,1
5934,0,1,2,41,2,10,0,1,0,20,0,2,DIAMOND,8.724930860058826,0,0,1,0,0,0,0,0,0
9767,0,0,0,72,0,2,0,0,1,75,0,4,SILVER,-2.80665142645487,0,0,0,0,0,0,0,0,1
26872,2,4,0,59,2,5,1,2,3,52,0,10,DIAMOND,3.555109677065332,0,0,1,0,0,0,0,0,0
30728,0,1,0,29,2,4,1,3,1,28,0,7,BRONZE,-2.813412760696913,1,0,0,0,0,0,0,0,0
11192,2,4,3,46,2,10,1,2,0,40,0,5,PLATINUM,3.327706034222075,0,0,0,0,0,0,0,1,0
29032,0,3,0,25,0,4,0,0,0,9,2,2,IRON,12.155927397420378,0,0,0,0,0,1,0,0,0
19972,1,3,0,29,1,6,0,0,0,12,1,2,SILVER,11.950241893038168,0,0,0,0,0,0,0,0,1
1598,0,0,2,82,0,4,0,0,1,55,0,3,PLATINUM,4.070593451962132,0,0,0,0,0,0,0,1,0
13549,1,2,1,31,0,5,0,0,0,10,2,1,BRONZE,10.094308860992491,1,0,0,0,0,0,0,0,0
8021,0,0,0,19,0,1,1,2,2,30,1,10,BRONZE,-6.171258668986468,1,0,0,0,0,0,0,0,0
30433,0,1,0,16,2,4,0,3,0,36,0,5,IRON,-3.1495965041777936,0,0,0,0,0,1,0,0,0
27755,0,3,1,44,1,8,0,1,0,27,1,0,IRON,10.573858929761483,0,0,0,0,0,1,0,0,0
11014,0,0,2,64,0,4,0,0,1,54,0,3,IRON,-1.607034926215455,0,0,0,0,0,1,0,0,0
20461,0,1,1,42,0,7,0,2,0,29,1,2,IRON,4.893659558000316,0,0,0,0,0,1,0,0,0
23727,0,1,0,31,0,1,1,4,1,46,2,9,SILVER,-6.429587017305025,0,0,0,0,0,0,0,0,1
26978,0,0,0,28,0,1,1,4,3,56,2,11,DIAMOND,-9.700088476704344,0,0,1,0,0,0,0,0,0
25670,0,2,0,27,1,7,2,3,3,38,1,11,DIAMOND,-4.474241256959729,0,0,1,0,0,0,0,0,0
13462,0,0,0,35,1,4,1,4,3,50,1,11,IRON,-8.00274223521982,0,0,0,0,0,1,0,0,0
15772,1,2,2,37,1,10,0,2,0,25,1,3,IRON,12.512414454532578,0,0,0,0,0,1,0,0,0
5665,2,2,3,39,2,11,0,3,1,38,0,6,SILVER,2.248827124542302,0,0,0,0,0,0,0,0,1
13627,2,5,4,42,0,11,0,0,0,21,1,2,IRON,6.944717470549328,0,0,0,0,0,1,0,0,0
25839,0,1,0,30,0,1,1,4,4,41,2,11,GOLD,-5.4566019736132745,0,0,0,1,0,0,0,0,0
2132,2,3,3,46,0,10,0,1,0,25,1,7,SILVER,11.049149333228437,0,0,0,0,0,0,0,0,1
12285,0,3,4,46,2,10,0,1,0,21,0,2,PLATINUM,7.881040334791798,0,0,0,0,0,0,0,1,0
7745,1,3,0,30,0,5,2,2,4,33,2,11,DIAMOND,-1.168901542080249,0,0,1,0,0,0,0,0,0
22227,0,0,0,14,0,2,1,3,2,36,1,9,BRONZE,-17.23452652101159,1,0,0,0,0,0,0,0,0
11300,1,4,1,53,0,8,0,0,0,25,2,6,DIAMOND,9.923940268132869,0,0,1,0,0,0,0,0,0
22629,0,4,2,31,2,9,0,0,0,13,0,1,PLATINUM,10.835713259943418,0,0,0,0,0,0,0,1,0
29400,0,2,0,11,0,2,1,2,1,26,2,9,SILVER,-8.858226124138326,0,0,0,0,0,0,0,0,1
31543,0,2,2,37,2,9,0,1,0,5,0,1,SILVER,18.133521588799383,0,0,0,0,0,0,0,0,1
35159,1,3,0,50,0,7,1,3,4,58,2,11,BRONZE,-4.071176528281455,1,0,0,0,0,0,0,0,0
3930,0,2,4,34,1,11,0,1,0,22,0,0,IRON,3.802233975559183,0,0,0,0,0,1,0,0,0
1895,0,0,0,6,0,0,1,3,3,24,2,11,IRON,-15.959441969319922,0,0,0,0,0,1,0,0,0
13088,1,3,2,44,1,10,0,0,0,19,1,2,GOLD,12.695703924941949,0,0,0,1,0,0,0,0,0
1808,0,1,0,16,0,3,1,2,0,29,2,3,GOLD,-5.4081976829859215,0,0,0,1,0,0,0,0,0
24708,0,0,2,68,0,4,0,0,1,70,0,4,SILVER,-0.3339762900931973,0,0,0,0,0,0,0,0,1
35766,1,4,4,27,0,9,1,1,2,44,1,7,PLATINUM,-10.651220674632242,0,0,0,0,0,0,0,1,0
7643,0,1,0,27,0,2,1,2,1,44,2,9,GOLD,-6.580982859424125,0,0,0,1,0,0,0,0,0
25773,0,0,2,53,0,4,0,0,0,45,0,1,IRON,1.5526264224482773,0,0,0,0,0,1,0,0,0
23813,0,1,0,20,0,0,1,2,2,33,2,10,IRON,-10.450417509412617,0,0,0,0,0,1,0,0,0
628,1,2,1,33,0,8,0,2,1,35,2,8,MASTER,0.5641979567379778,0,0,0,0,0,0,1,0,0
16451,0,2,1,54,0,7,1,3,0,40,1,5,IRON,7.458365030352276,0,0,0,0,0,1,0,0,0
12135,0,0,1,48,0,2,0,0,1,83,0,4,IRON,-6.598834121263536,0,0,0,0,0,1,0,0,0
27815,2,3,3,38,2,10,1,3,1,58,0,7,GOLD,-4.365188876257015,0,0,0,1,0,0,0,0,0
21581,0,2,0,20,2,3,2,2,2,39,0,10,GOLD,-11.280128059953476,0,0,0,1,0,0,0,0,0
8528,0,1,0,10,1,3,1,2,0,40,0,3,PLATINUM,-15.723279639215017,0,0,0,0,0,0,0,1,0
2266,1,2,1,51,0,10,0,1,0,33,1,5,SILVER,10.250855521394527,0,0,0,0,0,0,0,0,1
11118,0,4,0,34,1,3,1,1,1,31,1,8,SILVER,-0.7707525123295085,0,0,0,0,0,0,0,0,1
6272,0,0,3,101,0,4,0,0,0,87,0,2,PLATINUM,2.680515062300991,0,0,0,0,0,0,0,1,0
21415,0,0,0,60,0,1,0,0,3,77,0,4,SILVER,-2.549717435033969,0,0,0,0,0,0,0,0,1
13267,1,2,1,34,2,8,0,2,0,21,0,6,DIAMOND,7.868548050879049,0,0,1,0,0,0,0,0,0
7387,1,3,1,42,0,5,1,1,0,38,2,6,CHALLENGER,2.3634201816335434,0,1,0,0,0,0,0,0,0
34702,0,3,0,34,0,2,1,2,4,34,2,11,IRON,-1.7400174294258337,0,0,0,0,0,1,0,0,0
21806,1,2,2,37,2,10,0,1,0,12,0,1,GOLD,16.502682906334876,0,0,0,1,0,0,0,0,0
23655,2,4,4,36,1,10,0,1,0,18,1,5,SILVER,7.265750865149563,0,0,0,0,0,0,0,0,1
1890,0,0,0,10,0,1,0,3,3,40,1,11,SILVER,-11.50513103780331,0,0,0,0,0,0,0,0,1
7220,0,2,0,21,0,1,1,1,1,30,1,6,BRONZE,-7.914677372586901,1,0,0,0,0,0,0,0,0
20688,1,5,4,50,0,11,2,0,1,36,2,9,SILVER,2.902820989536565,0,0,0,0,0,0,0,0,1
29829,2,4,2,41,0,10,0,1,0,26,1,4,MASTER,3.1856650717085344,0,0,0,0,0,0,1,0,0
31876,0,0,0,9,0,3,1,3,2,26,2,9,SILVER,-11.36032595280708,0,0,0,0,0,0,0,0,1
24174,2,1,0,35,0,5,1,4,3,46,2,11,MASTER,-3.346550962267777,0,0,0,0,0,0,1,0,0
7679,0,2,1,29,2,6,1,2,3,41,0,9,SILVER,-3.606963725195307,0,0,0,0,0,0,0,0,1
13692,2,2,1,57,0,8,1,3,4,46,2,10,DIAMOND,7.625315979878337,0,0,1,0,0,0,0,0,0
16387,0,2,3,31,1,11,0,1,0,24,1,2,PLATINUM,4.185792064807735,0,0,0,0,0,0,0,1,0
12525,1,0,1,26,0,8,2,6,2,38,2,9,SILVER,-4.954872874190173,0,0,0,0,0,0,0,0,1
20818,0,1,0,22,2,2,1,3,3,37,0,11,IRON,-8.359010724981786,0,0,0,0,0,1,0,0,0
18674,0,1,0,19,0,2,1,2,1,33,2,8,SILVER,-8.866135268237095,0,0,0,0,0,0,0,0,1
6253,1,2,1,34,1,8,1,3,1,32,1,8,SILVER,7.589401725366386,0,0,0,0,0,0,0,0,1
7609,0,0,0,37,1,5,1,5,5,49,1,11,SILVER,-1.9005732907657065,0,0,0,0,0,0,0,0,1
14163,0,2,0,23,0,1,1,2,2,32,2,11,DIAMOND,-9.27726498764192,0,0,1,0,0,0,0,0,0
579,0,3,0,54,1,4,0,0,0,24,0,0,PLATINUM,8.828994937890457,0,0,0,0,0,0,0,1,0
16073,1,3,4,45,1,11,0,0,0,29,0,3,GOLD,7.973090358024962,0,0,0,1,0,0,0,0,0
13250,2,5,4,48,2,10,2,3,5,29,0,10,BRONZE,6.922702921265731,1,0,0,0,0,0,0,0,0
11713,0,1,1,27,1,9,0,3,0,19,1,3,DIAMOND,6.306903974535437,0,0,1,0,0,0,0,0,0
30315,0,0,0,31,0,4,1,5,1,57,2,9,SILVER,-11.50203846548115,0,0,0,0,0,0,0,0,1
19429,1,4,3,28,0,11,0,0,1,22,2,5,BRONZE,8.603486930745376,1,0,0,0,0,0,0,0,0
17367,2,2,0,40,1,7,0,3,3,37,1,11,DIAMOND,1.9182296516435784,0,0,1,0,0,0,0,0,0
7815,0,0,0,30,1,3,0,4,3,48,1,11,SILVER,-7.322267180619697,0,0,0,0,0,0,0,0,1
20589,0,2,0,14,0,4,1,1,2,39,2,11,SILVER,-13.451193363089466,0,0,0,0,0,0,0,0,1
36170,1,3,1,40,0,7,1,3,0,34,2,5,DIAMOND,3.481569159176225,0,0,1,0,0,0,0,0,0
4335,1,1,0,29,1,4,1,4,2,35,1,11,SILVER,-4.309662704762772,0,0,0,0,0,0,0,0,1
29910,0,2,0,29,1,3,0,1,0,19,1,4,IRON,6.4890948289063175,0,0,0,0,0,1,0,0,0
16750,1,3,4,48,2,11,1,3,0,35,0,3,SILVER,3.2889430294507846,0,0,0,0,0,0,0,0,1
22545,0,4,1,22,2,7,0,0,1,11,0,5,PLATINUM,4.896498679293117,0,0,0,0,0,0,0,1,0
21264,0,0,1,69,0,2,0,0,3,75,0,4,DIAMOND,-2.0646072734408776,0,0,1,0,0,0,0,0,0
25411,1,1,1,47,1,9,0,3,0,23,1,1,DIAMOND,10.702461485576867,0,0,1,0,0,0,0,0,0
32823,0,0,0,13,1,4,1,3,1,33,1,7,IRON,-12.220554306266164,0,0,0,0,0,1,0,0,0
4794,2,4,2,36,0,9,0,2,1,35,2,7,GOLD,3.056564304455023,0,0,0,1,0,0,0,0,0
3525,0,1,0,23,0,3,2,4,3,42,1,11,GOLD,-10.43996125593054,0,0,0,1,0,0,0,0,0
26290,0,2,0,23,1,5,1,2,2,27,1,9,DIAMOND,1.3963893543521806,0,0,1,0,0,0,0,0,0
2390,0,0,0,30,0,4,1,3,2,44,0,10,IRON,-6.798747755254375,0,0,0,0,0,1,0,0,0
22562,0,1,1,20,2,4,0,3,4,40,0,11,IRON,-7.193592600509419,0,0,0,0,0,1,0,0,0
13940,1,3,1,45,1,8,0,0,0,24,0,2,BRONZE,8.217402892564202,1,0,0,0,0,0,0,0,0
31201,0,1,1,32,2,9,0,2,0,15,0,1,GOLD,10.03893315493557,0,0,0,1,0,0,0,0,0
4254,0,2,3,33,1,11,0,1,0,18,1,0,PLATINUM,9.90575930977359,0,0,0,0,0,0,0,1,0
19636,0,3,0,24,0,3,1,1,2,34,2,10,SILVER,-4.271779641881935,0,0,0,0,0,0,0,0,1
26173,1,4,2,37,1,8,0,0,0,18,1,4,SILVER,13.681081725983578,0,0,0,0,0,0,0,0,1
25361,0,1,0,25,1,4,2,4,4,39,0,11,SILVER,-7.103430496995145,0,0,0,0,0,0,0,0,1
28293,1,3,2,26,2,9,0,1,0,16,0,4,BRONZE,5.412425210879988,1,0,0,0,0,0,0,0,0
25185,1,2,2,42,1,10,0,1,0,26,1,1,GOLD,11.37499109072536,0,0,0,1,0,0,0,0,0
5221,2,1,1,43,2,7,1,4,2,56,0,9,BRONZE,-3.1269530593982253,1,0,0,0,0,0,0,0,0
17828,1,1,3,66,0,11,1,4,4,70,1,8,IRON,2.6063073873344464,0,0,0,0,0,1,0,0,0
10436,1,4,2,37,2,10,0,0,0,17,0,2,IRON,11.565282860543988,0,0,0,0,0,1,0,0,0
34388,0,2,0,27,0,3,1,2,2,27,2,10,GRANDMASTER,0.0875818732821471,0,0,0,0,1,0,0,0,0
23074,0,0,0,29,1,6,1,4,2,35,1,11,SILVER,-0.3383524318305433,0,0,0,0,0,0,0,0,1
21084,1,3,1,36,2,7,0,1,0,25,0,2,MASTER,2.07926420803662,0,0,0,0,0,0,1,0,0
24378,1,2,1,35,1,10,1,2,0,20,1,3,MASTER,8.346962615428026,0,0,0,0,0,0,1,0,0
20060,1,5,7,53,2,11,1,2,1,51,0,9,IRON,1.3902197568276904,0,0,0,0,0,1,0,0,0
